"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/06/2025 00:00:00 - 05/06/2025 01:00:00","BZN|RO","Without Sequence","120.77","",""
"05/06/2025 01:00:00 - 05/06/2025 02:00:00","BZN|RO","Without Sequence","108.77","",""
"05/06/2025 02:00:00 - 05/06/2025 03:00:00","BZN|RO","Without Sequence","100.02","",""
"05/06/2025 03:00:00 - 05/06/2025 04:00:00","BZN|RO","Without Sequence","98.19","",""
"05/06/2025 04:00:00 - 05/06/2025 05:00:00","BZN|RO","Without Sequence","101.21","",""
"05/06/2025 05:00:00 - 05/06/2025 06:00:00","BZN|RO","Without Sequence","106.97","",""
"05/06/2025 06:00:00 - 05/06/2025 07:00:00","BZN|RO","Without Sequence","111.48","",""
"05/06/2025 07:00:00 - 05/06/2025 08:00:00","BZN|RO","Without Sequence","127.78","",""
"05/06/2025 08:00:00 - 05/06/2025 09:00:00","BZN|RO","Without Sequence","101.93","",""
"05/06/2025 09:00:00 - 05/06/2025 10:00:00","BZN|RO","Without Sequence","79.51","",""
"05/06/2025 10:00:00 - 05/06/2025 11:00:00","BZN|RO","Without Sequence","66.34","",""
"05/06/2025 11:00:00 - 05/06/2025 12:00:00","BZN|RO","Without Sequence","48.97","",""
"05/06/2025 12:00:00 - 05/06/2025 13:00:00","BZN|RO","Without Sequence","20.41","",""
"05/06/2025 13:00:00 - 05/06/2025 14:00:00","BZN|RO","Without Sequence","12.27","",""
"05/06/2025 14:00:00 - 05/06/2025 15:00:00","BZN|RO","Without Sequence","8.52","",""
"05/06/2025 15:00:00 - 05/06/2025 16:00:00","BZN|RO","Without Sequence","23.54","",""
"05/06/2025 16:00:00 - 05/06/2025 17:00:00","BZN|RO","Without Sequence","79.07","",""
"05/06/2025 17:00:00 - 05/06/2025 18:00:00","BZN|RO","Without Sequence","98.84","",""
"05/06/2025 18:00:00 - 05/06/2025 19:00:00","BZN|RO","Without Sequence","138.32","",""
"05/06/2025 19:00:00 - 05/06/2025 20:00:00","BZN|RO","Without Sequence","175.51","",""
"05/06/2025 20:00:00 - 05/06/2025 21:00:00","BZN|RO","Without Sequence","262.51","",""
"05/06/2025 21:00:00 - 05/06/2025 22:00:00","BZN|RO","Without Sequence","135.53","",""
"05/06/2025 22:00:00 - 05/06/2025 23:00:00","BZN|RO","Without Sequence","118.68","",""
"05/06/2025 23:00:00 - 06/06/2025 00:00:00","BZN|RO","Without Sequence","117.87","",""
